gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
A1BG,,,,2.1242,1.6568,83.0,1.1877,45.0,0.0234,53.0,0.0382,53.0
A1CF,,,,0.2068,0.5828,83.0,0.9973,45.0,0.0332,53.0,-0.0067,53.0
A2M,,,,0.2563,0.4199,83.0,1.1466,45.0,0.028,53.0,0.0041,53.0
A2ML1,,,,0.251,0.7239,83.0,1.0491,45.0,0.013,53.0,0.1103,53.0
A3GALT2,,,,0.0239,0.0517,83.0,0.934,45.0,0.0453,53.0,-0.0358,53.0
A4GALT,,,,2.7098,1.22,83.0,0.8952,45.0,0.072,53.0,-0.1039,53.0
A4GNT,,,,0.1359,0.2801,83.0,1.1306,45.0,0.0115,53.0,0.1224,53.0
AAAS,,,,5.3237,0.533,83.0,1.1886,45.0,0.3049,53.0,-0.3346,53.0
AACS,,,,3.9421,0.6286,83.0,1.0492,45.0,0.0371,53.0,0.044,53.0
AADAC,,,,0.9957,1.6528,83.0,1.1516,45.0,0.0104,53.0,0.1565,53.0
AADACL2,,,,0.0037,0.0103,83.0,1.1564,45.0,0.0161,53.0,0.0701,53.0
AADACL3,,,,0.015,0.0779,83.0,0.9915,45.0,0.0206,53.0,0.042,53.0
AADACL4,,,,0.003,0.0077,83.0,0.9905,45.0,0.0199,53.0,0.0346,53.0
AADAT,,,,2.5152,0.839,83.0,0.9322,45.0,0.0377,53.0,-0.0365,53.0
AAGAB,,,,5.5977,0.6096,83.0,1.1485,45.0,0.0332,53.0,0.0296,53.0
AAK1,,,,3.3584,0.629,83.0,1.2173,45.0,0.1492,53.0,-0.1909,53.0
AAMDC,,,,5.0384,0.8922,83.0,1.274,45.0,0.0426,53.0,-0.0449,53.0
AAMP,,,,6.7618,0.4239,83.0,1.0168,45.0,0.8585,53.0,-0.8746,53.0
AANAT,,,,0.1796,0.1962,83.0,1.1456,45.0,0.1468,53.0,-0.2048,53.0
AAR2,,,,4.3837,0.4611,83.0,1.3572,45.0,0.0497,53.0,-0.037,53.0
AARD,,,,0.7281,1.1172,83.0,1.2156,45.0,0.1572,53.0,-0.2037,53.0
AARS1,,,,6.7582,0.8894,83.0,1.0991,45.0,0.9993,53.0,-2.291,53.0
AARS2,,,,2.8689,0.5134,83.0,1.0388,45.0,0.5907,53.0,-0.5829,53.0
AARSD1,,,,5.5895,0.4135,83.0,1.0615,45.0,0.169,53.0,-0.2099,53.0
AASDH,,,,2.6438,0.5049,83.0,0.9403,45.0,0.0531,53.0,-0.0691,53.0
AASDHPPT,,,,5.3273,0.5976,83.0,1.098,45.0,0.341,53.0,-0.3301,53.0
AASS,,,,1.5991,1.3176,83.0,1.1277,45.0,0.019,53.0,0.0553,53.0
AATF,,,,5.7497,0.6665,83.0,1.2989,45.0,0.7574,53.0,-0.6812,53.0
AATK,,,,0.727,0.5485,83.0,1.232,45.0,0.114,53.0,-0.1335,53.0
ABAT,,,,1.327,1.0327,83.0,1.0006,45.0,0.0552,53.0,-0.055,53.0
ABCA1,0.0,0.0,131.0,2.031,1.4301,83.0,1.0315,45.0,0.0412,53.0,-0.0221,53.0
ABCA10,,,,0.4108,0.5839,83.0,1.1471,45.0,0.015,53.0,0.1105,53.0
ABCA12,,,,0.9896,1.2668,83.0,1.0399,45.0,0.0433,53.0,0.001,53.0
ABCA13,0.0,0.0,131.0,0.5751,0.868,83.0,1.292,45.0,0.054,53.0,-0.0518,53.0
ABCA2,,,,4.1931,0.8798,83.0,1.2414,45.0,0.0486,53.0,-0.0175,53.0
ABCA3,,,,2.3924,1.4015,83.0,0.9543,45.0,0.0271,53.0,0.0097,53.0
ABCA4,,,,1.0551,1.4418,83.0,1.3739,45.0,0.1124,53.0,-0.1749,53.0
ABCA5,0.0,0.0,131.0,2.3728,0.8893,83.0,1.1171,45.0,0.0529,53.0,-0.0542,53.0
ABCA6,,,,0.1669,0.5031,83.0,1.1505,45.0,0.0233,53.0,0.0811,53.0
ABCA7,,,,3.5544,0.9401,83.0,0.8634,45.0,0.0275,53.0,0.0871,53.0
ABCA8,,,,0.4249,0.9227,83.0,1.158,45.0,0.0489,53.0,-0.0421,53.0
ABCA9,0.0,0.0,131.0,0.0609,0.1653,83.0,1.1545,45.0,0.0141,53.0,0.1015,53.0
ABCB1,,,,0.7023,1.21,83.0,1.1935,45.0,0.0991,53.0,-0.1188,53.0
ABCB10,,,,3.8435,0.642,83.0,1.081,45.0,0.2187,53.0,-0.2525,53.0
ABCB11,,,,0.1097,0.197,83.0,1.0896,45.0,0.0543,53.0,-0.0645,53.0
ABCB4,,,,0.2044,0.3935,83.0,1.2063,45.0,0.0463,53.0,-0.0389,53.0
ABCB5,,,,0.089,0.2606,83.0,1.2196,45.0,0.0466,53.0,-0.0459,53.0
ABCB6,,,,4.3011,1.1407,83.0,1.0803,45.0,0.0371,53.0,0.0036,53.0
ABCB7,,,,4.176,0.634,83.0,0.7039,45.0,0.8833,53.0,-1.0283,53.0
ABCB8,,,,4.5144,0.7216,83.0,1.1564,45.0,0.0197,53.0,0.0475,53.0
ABCB9,,,,2.6401,0.7053,83.0,1.0757,45.0,0.0473,53.0,-0.0337,53.0
ABCC1,,,,4.9581,1.0323,83.0,1.0044,45.0,0.0302,53.0,0.0222,53.0
ABCC10,0.0,0.0,131.0,3.5244,0.6284,83.0,1.0227,45.0,0.1043,53.0,-0.1445,53.0
ABCC11,,,,0.2825,0.2252,83.0,1.1219,45.0,0.0269,53.0,0.0376,53.0
ABCC12,,,,0.0522,0.1326,83.0,1.1534,45.0,0.0203,53.0,0.043,53.0
ABCC2,,,,3.3982,2.716,83.0,1.0392,45.0,0.0388,53.0,-0.0399,53.0
ABCC3,,,,5.7725,2.0756,83.0,1.2085,45.0,0.037,53.0,-0.0212,53.0
ABCC4,,,,3.3232,1.0933,83.0,0.8937,45.0,0.0143,53.0,0.1225,53.0
ABCC5,,,,4.1397,0.9824,83.0,1.1224,45.0,0.0245,53.0,0.0452,53.0
ABCC6,,,,1.6896,1.1264,83.0,0.9925,45.0,0.047,19.0,-0.04,19.0
ABCC8,,,,0.3875,0.7596,83.0,0.9747,45.0,0.0267,53.0,0.0157,53.0
ABCC9,0.0,0.0,131.0,0.5504,0.8593,83.0,1.2161,45.0,0.045,53.0,-0.0478,53.0
ABCD1,,,,2.8364,0.9972,83.0,0.8368,45.0,0.2363,53.0,-0.2666,53.0
ABCD2,,,,0.1026,0.2972,83.0,1.1731,45.0,0.037,53.0,-0.0028,53.0
ABCD3,,,,5.0845,0.7437,83.0,1.2651,45.0,0.1225,53.0,-0.1262,53.0
ABCD4,,,,4.8262,0.5483,83.0,1.2524,45.0,0.0854,53.0,-0.0998,53.0
ABCE1,,,,6.3878,0.5786,83.0,0.9162,45.0,0.9992,53.0,-1.8847,53.0
ABCF1,,,,5.3267,0.601,83.0,1.0422,45.0,0.9446,53.0,-1.0549,53.0
ABCF2,,,,4.9555,0.5816,83.0,1.1741,45.0,,,,
ABCF2-H2BK1,,,,,,,1.1621,45.0,,,,
ABCF3,,,,5.6551,0.5111,83.0,1.1495,45.0,0.0187,53.0,0.0725,53.0
ABCG1,,,,1.3497,1.4004,83.0,0.9682,45.0,0.0323,53.0,-0.0006,53.0
ABCG2,,,,2.5074,1.6966,83.0,0.899,45.0,0.0179,53.0,0.0545,53.0
ABCG4,,,,0.2318,0.3382,83.0,1.1252,45.0,0.0231,53.0,0.0334,53.0
ABCG5,,,,0.0245,0.1001,83.0,1.1939,45.0,0.0248,53.0,0.038,53.0
ABCG8,,,,0.0411,0.1308,83.0,1.2159,45.0,0.0246,53.0,0.0399,53.0
ABHD1,,,,0.7626,0.5405,83.0,1.1699,45.0,0.0306,53.0,-0.0037,53.0
ABHD10,,,,5.0011,0.5219,83.0,1.1353,45.0,0.0276,53.0,0.0251,53.0
ABHD11,,,,4.967,0.9412,83.0,1.1739,45.0,0.3563,53.0,-0.3603,53.0
ABHD12,,,,5.5748,0.7408,83.0,1.115,45.0,0.0314,53.0,0.0079,53.0
ABHD12B,,,,0.4882,0.511,83.0,1.221,45.0,0.0342,53.0,0.0321,53.0
ABHD13,,,,3.0112,0.5237,83.0,0.8583,45.0,0.0964,53.0,-0.1136,53.0
ABHD14A,,,,3.3777,0.683,83.0,0.8525,45.0,0.0223,53.0,0.0491,53.0
ABHD14A-ACY1,,,,,,,0.8704,45.0,,,,
ABHD14B,,,,4.9482,0.8241,83.0,0.8638,45.0,0.0273,53.0,0.0303,53.0
ABHD15,,,,2.8116,0.7521,83.0,1.0362,45.0,0.112,53.0,-0.1263,53.0
ABHD16A,,,,4.7282,0.6139,83.0,1.051,45.0,0.1015,53.0,-0.158,53.0
ABHD16B,,,,1.8575,0.8651,83.0,1.4616,45.0,0.0277,53.0,0.046,53.0
ABHD17A,,,,4.3054,0.8094,83.0,0.9852,45.0,0.3512,53.0,-0.3546,53.0
ABHD17B,,,,3.4164,0.6064,83.0,1.0012,45.0,0.024,53.0,0.0465,53.0
ABHD17C,,,,4.6436,1.1247,83.0,1.1018,45.0,0.0169,53.0,0.1173,53.0
ABHD18,,,,2.7206,0.4804,83.0,0.8664,45.0,0.0298,53.0,0.0208,53.0
ABHD2,,,,4.9083,0.8314,83.0,1.2117,45.0,0.075,53.0,-0.0736,53.0
ABHD3,,,,4.7574,0.7445,83.0,0.8908,45.0,0.0598,53.0,-0.0742,53.0
ABHD4,,,,4.3687,1.2101,83.0,1.2979,45.0,0.0238,53.0,0.0356,53.0
ABHD5,,,,4.0937,0.6199,83.0,0.8839,45.0,0.047,53.0,-0.058,53.0
ABHD6,,,,2.2323,0.8516,83.0,0.886,45.0,0.0144,53.0,0.0845,53.0
ABHD8,,,,2.877,0.9416,83.0,0.973,45.0,0.0292,53.0,0.0106,53.0
ABI1,0.0,0.0,131.0,4.8181,0.5397,83.0,1.0164,45.0,0.0461,53.0,-0.0201,53.0
ABI2,,,,4.8635,0.7152,83.0,1.0184,45.0,0.0108,53.0,0.1218,53.0
ABI3,,,,0.0838,0.245,83.0,1.1259,45.0,0.0169,53.0,0.0767,53.0
ABI3BP,,,,0.7392,0.8527,83.0,1.0405,45.0,0.0163,53.0,0.0763,53.0
ABITRAM,,,,4.2426,0.6438,83.0,1.0325,45.0,0.0378,53.0,0.0032,53.0
ABL1,,,,4.2873,0.6983,83.0,1.0199,45.0,0.0341,53.0,0.0208,53.0
ABL2,,,,3.713,1.0104,83.0,1.0884,45.0,0.0136,53.0,0.1078,53.0
ABLIM1,,,,4.6846,1.3385,83.0,1.0007,45.0,0.0232,53.0,0.0447,53.0
ABLIM2,,,,0.9492,0.6565,83.0,1.0184,45.0,0.0258,53.0,0.0447,53.0
ABLIM3,,,,2.9078,1.7193,83.0,1.1516,45.0,0.0211,53.0,0.031,53.0
ABO,,,,1.1286,1.3226,83.0,1.0522,45.0,,,,
ABR,,,,5.237,0.9148,83.0,0.9585,45.0,0.0322,53.0,0.024,53.0
ABRA,,,,0.0258,0.0372,83.0,1.2093,45.0,0.0505,53.0,-0.0229,53.0
ABRACL,,,,6.1024,0.9282,83.0,0.8581,45.0,0.0132,53.0,0.0898,53.0
ABRAXAS1,,,,2.8705,0.6939,83.0,0.9035,45.0,0.247,53.0,-0.2841,53.0
ABRAXAS2,,,,3.5787,0.3996,83.0,0.9728,45.0,0.0141,53.0,0.1422,53.0
ABT1,,,,3.7957,0.6051,83.0,0.9882,45.0,0.8581,53.0,-0.8338,53.0
ABTB1,,,,3.2572,0.901,83.0,1.1185,45.0,0.0237,53.0,0.0397,53.0
ABTB2,,,,2.7301,0.8686,83.0,0.9788,45.0,0.0215,53.0,0.0569,53.0
ABTB3,,,,1.3291,1.3886,83.0,1.0491,45.0,0.0642,53.0,-0.0589,53.0
ACAA1,,,,5.2441,0.5764,83.0,0.9304,45.0,0.0664,53.0,0.0081,53.0
ACAA2,,,,5.0978,1.1038,83.0,0.8139,45.0,0.0722,53.0,-0.1037,53.0
ACACA,,,,5.4311,0.6694,83.0,1.2904,45.0,0.342,53.0,-0.3511,53.0
ACACB,0.0,0.0,131.0,1.8847,0.8431,83.0,1.0229,45.0,0.0584,53.0,-0.0869,53.0
ACAD10,,,,3.8128,0.5815,83.0,1.0503,45.0,0.0604,53.0,-0.0654,53.0
ACAD11,,,,3.3734,0.6153,83.0,1.112,45.0,0.0194,53.0,0.0357,53.0
ACAD8,,,,4.5166,0.7845,83.0,1.0147,45.0,0.0301,53.0,0.0381,53.0
ACAD9,,,,4.5164,0.4394,83.0,1.1412,45.0,0.2047,53.0,-0.2175,53.0
ACADL,,,,0.483,0.7903,83.0,1.0665,45.0,0.0403,53.0,0.0176,53.0
ACADM,,,,5.4662,0.7714,83.0,1.0014,45.0,0.0353,53.0,-0.0085,53.0
ACADS,,,,2.6739,0.9244,83.0,1.0039,45.0,0.0666,53.0,-0.0701,53.0
ACADSB,,,,2.843,0.7349,83.0,0.9971,45.0,0.0652,53.0,-0.0744,53.0
ACADVL,,,,8.1191,0.7458,83.0,0.9508,45.0,0.0653,53.0,-0.0709,53.0
ACAN,,,,0.0428,0.1062,83.0,1.1629,45.0,0.0314,53.0,0.0071,53.0
ACAP1,,,,1.3818,0.7697,83.0,0.9743,45.0,0.0549,53.0,-0.061,53.0
ACAP2,,,,4.2349,0.6045,83.0,1.1159,45.0,0.0242,53.0,0.0525,53.0
ACAP3,,,,4.1422,0.8502,83.0,1.0618,45.0,0.0997,53.0,-0.1352,53.0
ACAT1,,,,6.103,0.9303,83.0,1.1526,45.0,0.0287,53.0,0.0649,53.0
ACAT2,,,,5.6884,0.9612,83.0,0.8886,45.0,0.0151,53.0,0.1398,53.0
ACBD3,,,,4.9484,0.4847,83.0,1.119,45.0,0.0389,53.0,-0.0067,53.0
ACBD4,,,,2.9962,0.797,83.0,1.0884,45.0,0.0934,53.0,-0.119,53.0
ACBD5,,,,4.3558,0.682,83.0,0.8722,45.0,0.0741,53.0,-0.0447,53.0
ACBD6,,,,5.0659,0.514,83.0,1.1554,45.0,0.0186,53.0,0.0726,53.0
ACBD7,,,,1.5992,0.8727,83.0,0.9258,45.0,0.0133,53.0,0.0983,53.0
ACCS,,,,3.036,1.1138,83.0,0.968,45.0,0.0191,53.0,0.0629,53.0
ACCSL,,,,0.0024,0.0129,83.0,1.0033,45.0,0.0461,53.0,-0.0551,53.0
ACD,,,,4.6403,0.8604,83.0,1.1596,45.0,0.3526,53.0,-0.3625,53.0
ACE,,,,1.0418,1.0027,83.0,1.2308,45.0,0.1063,53.0,-0.1422,53.0
ACE2,,,,0.4461,0.7461,83.0,0.7012,45.0,0.0047,53.0,0.2207,53.0
ACER1,,,,0.0194,0.0816,83.0,0.787,45.0,0.0291,53.0,0.0006,53.0
ACER2,,,,1.0461,0.559,83.0,0.7879,45.0,0.0245,53.0,0.0308,53.0
ACER3,,,,3.623,0.5652,83.0,1.1834,45.0,0.0143,53.0,0.0945,53.0
ACHE,,,,1.1266,1.1281,83.0,1.1748,45.0,0.1909,53.0,-0.2165,53.0
ACIN1,,,,6.857,0.5972,83.0,,0.0,0.8041,53.0,-0.763,53.0
ACKR1,,,,0.0203,0.0461,83.0,1.1993,45.0,0.042,53.0,-0.0401,53.0
ACKR2,,,,0.7066,1.2653,83.0,0.8807,45.0,0.0131,53.0,0.0846,53.0
ACKR3,,,,1.6001,2.0312,83.0,1.0562,45.0,0.0235,53.0,0.044,53.0
ACKR4,,,,0.4374,0.4764,83.0,1.079,45.0,0.1212,53.0,-0.1589,53.0
ACLY,,,,6.2233,0.6811,83.0,1.1232,45.0,0.4627,53.0,-0.4368,53.0
ACMSD,,,,0.2457,0.5947,83.0,1.0426,45.0,0.0109,53.0,0.1233,53.0
ACO1,,,,4.3284,1.0344,83.0,0.8906,45.0,0.0162,53.0,0.0675,53.0
ACO2,,,,5.4869,0.5446,83.0,0.9199,45.0,0.66,53.0,-0.7033,53.0
ACOD1,,,,0.0012,0.0061,83.0,0.8468,45.0,0.0211,53.0,0.0381,53.0
ACOT1,,,,2.7479,1.0062,83.0,0.5989,45.0,0.016,18.0,0.2742,18.0
ACOT11,,,,1.8558,1.0461,83.0,1.014,45.0,0.0357,53.0,-0.0165,53.0
ACOT12,,,,0.0531,0.1265,83.0,0.9935,45.0,0.1722,53.0,-0.2194,53.0
ACOT13,,,,4.6741,0.8304,83.0,1.0034,45.0,0.0186,53.0,0.0533,53.0
ACOT2,,,,4.6145,1.0032,83.0,1.0506,45.0,0.0476,53.0,0.0202,53.0
ACOT4,,,,1.9145,1.0738,83.0,1.2294,45.0,0.1034,53.0,-0.1289,53.0
ACOT6,,,,0.0969,0.157,83.0,1.1545,45.0,0.0469,53.0,-0.0483,53.0
ACOT7,,,,5.1337,0.8351,83.0,0.9984,45.0,0.0189,53.0,0.0671,53.0
ACOT8,,,,4.4851,0.5843,83.0,1.2774,45.0,0.0248,53.0,0.0542,53.0
ACOT9,,,,5.2278,0.9222,83.0,0.6876,45.0,0.0164,53.0,0.0811,53.0
ACOX1,,,,4.2305,0.6417,83.0,1.1205,45.0,0.3043,53.0,-0.329,53.0
ACOX2,,,,1.8582,1.4384,83.0,0.8644,45.0,0.0685,53.0,-0.0893,53.0
ACOX3,,,,2.8098,0.5603,83.0,1.0204,45.0,0.0187,53.0,0.0416,53.0
ACOXL,,,,0.8452,0.9574,83.0,1.1139,45.0,0.1019,53.0,-0.1478,53.0
ACP1,,,,7.2516,0.5151,83.0,1.1696,45.0,0.0062,53.0,0.1874,53.0
ACP2,,,,4.4229,0.8351,83.0,1.0412,45.0,0.0199,53.0,0.0616,53.0
ACP3,,,,1.4029,1.4054,83.0,1.1262,45.0,0.0358,53.0,0.0512,53.0
ACP4,,,,0.011,0.0252,83.0,1.0216,45.0,0.0142,53.0,0.1029,53.0
ACP5,,,,1.2995,1.3907,83.0,0.8962,45.0,0.0227,53.0,0.0352,53.0
ACP6,,,,4.335,0.9974,83.0,1.5134,45.0,0.0548,53.0,-0.0559,53.0
ACP7,,,,0.8957,1.0162,83.0,1.0815,45.0,0.11,53.0,-0.1684,53.0
ACR,,,,0.1097,0.1271,83.0,0.9255,45.0,0.1129,53.0,-0.1433,53.0
ACRBP,,,,0.5822,0.3963,83.0,1.1395,45.0,0.0454,53.0,-0.0384,53.0
ACRV1,,,,0.3667,0.2421,83.0,1.0936,45.0,0.0046,53.0,0.2265,53.0
ACSBG1,,,,0.9564,0.301,83.0,1.0747,45.0,0.0173,53.0,0.0585,53.0
ACSBG2,,,,0.2668,0.212,83.0,0.8319,45.0,0.0306,53.0,0.0207,53.0
ACSF2,,,,4.7684,1.2984,83.0,1.217,45.0,0.1055,53.0,-0.1381,53.0
ACSF3,,,,3.8143,0.6318,83.0,1.1384,45.0,0.0143,53.0,0.0937,53.0
ACSL1,,,,4.231,1.2407,83.0,0.9019,45.0,0.0301,53.0,0.0052,53.0
ACSL3,,,,6.6031,0.6947,83.0,1.084,45.0,0.4948,53.0,-0.5241,53.0
ACSL4,,,,4.8603,1.2154,83.0,0.7626,45.0,0.1167,53.0,-0.0939,53.0
ACSL5,,,,2.7168,2.1585,83.0,0.9792,45.0,0.0225,53.0,0.0404,53.0
ACSL6,,,,0.2328,0.2795,83.0,1.0392,45.0,0.0678,53.0,-0.0885,53.0
ACSM1,,,,0.1881,0.4104,83.0,1.0131,45.0,0.0271,53.0,0.0246,53.0
ACSM2A,,,,0.0092,0.071,83.0,0.9948,45.0,0.0124,53.0,0.0905,53.0
ACSM2B,,,,0.0076,0.0448,83.0,0.9774,45.0,0.0098,48.0,0.1477,48.0
ACSM3,,,,2.3825,1.1048,83.0,1.025,45.0,0.0393,53.0,-0.0283,53.0
ACSM4,,,,0.0065,0.0147,83.0,1.1666,45.0,0.0233,53.0,0.0505,53.0
ACSM5,,,,0.0277,0.0968,83.0,0.9564,45.0,0.0321,53.0,0.0029,53.0
ACSM6,,,,0.0769,0.3548,83.0,1.0235,45.0,0.0278,53.0,0.0313,53.0
ACSS1,,,,1.7185,1.2701,83.0,1.1382,45.0,0.0146,53.0,0.0779,53.0
ACSS2,,,,4.8015,0.8835,83.0,1.3008,45.0,0.0079,53.0,0.2072,53.0
ACSS3,,,,1.0111,1.2441,83.0,1.0551,45.0,0.0303,53.0,0.0224,53.0
ACTA1,,,,0.182,0.2669,83.0,1.0551,45.0,0.0849,53.0,-0.1252,53.0
ACTA2,,,,1.7356,1.1569,83.0,1.0258,45.0,0.0251,53.0,0.0307,53.0
ACTB,0.0,0.0,131.0,11.2,0.7067,83.0,1.316,45.0,0.699,53.0,-0.8204,53.0
ACTBL2,,,,0.5113,0.6102,83.0,1.1306,45.0,0.032,53.0,0.017,53.0
ACTC1,,,,0.2592,0.6033,83.0,1.0125,45.0,0.0195,53.0,0.0479,53.0
ACTG1,,,,10.6041,0.8127,83.0,1.2828,45.0,0.8358,53.0,-0.8635,53.0
ACTG2,,,,0.3846,0.5754,83.0,1.1538,45.0,0.0193,53.0,0.0459,53.0
ACTL10,,,,0.7499,0.6267,83.0,1.4626,45.0,0.0111,53.0,0.1306,53.0
ACTL6A,,,,7.0286,0.5727,83.0,1.1044,45.0,0.9692,53.0,-1.4427,53.0
ACTL6B,,,,0.082,0.3383,83.0,1.1323,45.0,0.0305,53.0,0.008,53.0
ACTL7A,,,,0.0166,0.044,83.0,1.0252,45.0,0.1064,53.0,-0.1482,53.0
ACTL7B,,,,0.0146,0.0291,83.0,1.0113,45.0,0.0177,53.0,0.1206,53.0
ACTL8,,,,0.3037,0.5729,83.0,0.9756,45.0,0.0516,53.0,-0.0326,53.0
ACTL9,,,,0.0054,0.0294,83.0,0.9133,45.0,0.0598,53.0,-0.0516,53.0
ACTMAP,,,,3.073,0.6354,83.0,1.0886,45.0,0.0123,53.0,0.1075,53.0
ACTN1,,,,6.8438,1.1072,83.0,1.2635,45.0,0.1178,53.0,-0.1506,53.0
ACTN2,,,,0.1247,0.281,83.0,1.0656,45.0,0.0355,53.0,-0.0016,53.0
ACTN3,,,,0.0491,0.0884,83.0,1.3246,45.0,0.0295,2.0,-0.045,2.0
ACTN4,,,,8.1194,0.8879,83.0,1.143,45.0,0.0223,53.0,0.0691,53.0
ACTR10,0.0,0.0,131.0,6.0312,0.6126,83.0,1.1707,45.0,0.9345,53.0,-1.1816,53.0
ACTR1A,,,,5.4769,0.5903,83.0,0.9817,45.0,0.8258,53.0,-0.9416,53.0
ACTR1B,,,,4.7859,0.5194,83.0,1.142,45.0,0.3348,53.0,-0.3657,53.0
ACTR2,,,,7.7509,0.4989,83.0,1.178,45.0,0.9668,53.0,-1.3472,53.0
ACTR3,,,,7.8621,0.6137,83.0,1.0961,45.0,0.4501,53.0,-0.4234,53.0
ACTR3B,,,,3.287,0.6399,83.0,1.0045,45.0,0.034,53.0,0.0143,53.0
ACTR3C,,,,2.1491,1.1048,83.0,1.023,45.0,0.0861,48.0,-0.09,48.0
ACTR5,,,,2.918,0.5354,83.0,1.3582,45.0,0.2558,53.0,-0.2449,53.0
ACTR6,,,,5.0337,0.6669,83.0,1.0371,45.0,0.6351,53.0,-0.5901,53.0
ACTR8,,,,3.7568,0.4958,83.0,0.8912,45.0,0.5137,53.0,-0.4791,53.0
ACTRT1,,,,0.0016,0.0067,83.0,0.6785,45.0,0.0147,53.0,0.0803,53.0
ACTRT2,,,,0.0002,0.0016,83.0,0.9449,45.0,0.0133,53.0,0.113,53.0
ACTRT3,,,,1.3946,0.7098,83.0,1.043,45.0,0.0572,53.0,-0.0562,53.0
ACVR1,0.0,0.0,131.0,3.7074,0.6984,83.0,1.0606,45.0,0.0222,53.0,0.0563,53.0
ACVR1B,0.0,0.0,131.0,3.5507,0.6575,83.0,1.2368,45.0,0.1036,53.0,-0.1481,53.0
ACVR1C,,,,0.4624,0.5341,83.0,1.055,45.0,0.0318,53.0,0.0528,53.0
ACVR2A,,,,2.3186,0.525,83.0,1.022,45.0,0.0285,53.0,0.0279,53.0
ACVR2B,,,,1.4528,0.4886,83.0,0.9105,45.0,0.0177,53.0,0.0663,53.0
ACVRL1,,,,0.2805,0.6577,83.0,1.1811,45.0,0.0293,53.0,0.0169,53.0
ACY1,,,,4.9777,0.6824,83.0,0.8878,45.0,0.0162,53.0,0.0815,53.0
ACY3,,,,0.472,0.5674,83.0,1.4025,45.0,0.0566,53.0,-0.063,53.0
ACYP1,,,,5.1834,0.768,83.0,1.235,45.0,0.0328,53.0,-0.0147,53.0
ACYP2,,,,3.4165,0.5922,83.0,1.1529,45.0,0.016,53.0,0.0768,53.0
ADA,,,,3.0772,1.3006,83.0,1.3152,45.0,0.0308,53.0,0.0099,53.0
ADA2,,,,0.3116,0.6532,83.0,0.915,45.0,0.0806,53.0,-0.1095,53.0
ADAD1,,,,0.0056,0.0267,83.0,0.8957,45.0,0.023,53.0,0.0641,53.0
ADAD2,,,,0.0827,0.3535,83.0,1.1759,45.0,0.0476,53.0,-0.0406,53.0
ADAM10,,,,6.9213,0.6761,83.0,1.0295,45.0,0.0427,53.0,-0.0144,53.0
ADAM11,,,,0.7442,0.6485,83.0,1.1318,45.0,0.2552,53.0,-0.2953,53.0
ADAM12,,,,1.209,1.345,83.0,0.9961,45.0,0.0396,53.0,-0.0078,53.0
ADAM15,,,,6.4238,1.0227,83.0,1.3919,45.0,0.0722,53.0,-0.0984,53.0
ADAM17,,,,4.9718,0.5768,83.0,1.1535,45.0,0.0256,53.0,0.0418,53.0
ADAM18,,,,0.0183,0.0501,83.0,0.9616,45.0,0.0074,53.0,0.1898,53.0
ADAM19,,,,2.0039,1.6734,83.0,1.0889,45.0,0.0131,53.0,0.1183,53.0
ADAM2,,,,0.0046,0.0193,83.0,0.9536,45.0,0.0385,53.0,0.004,53.0
ADAM20,,,,0.0862,0.0611,83.0,1.3026,45.0,0.0217,53.0,0.1051,53.0
ADAM21,,,,0.4012,0.4843,83.0,1.2054,45.0,0.0541,53.0,-0.0238,53.0
ADAM22,,,,1.2621,0.8767,83.0,1.1594,45.0,0.0634,53.0,-0.0677,53.0
ADAM23,,,,1.234,1.3999,83.0,1.0358,45.0,0.0224,53.0,0.0505,53.0
ADAM28,0.0,0.0,131.0,1.7261,1.4145,83.0,0.8166,45.0,0.0098,53.0,0.1123,53.0
ADAM29,,,,0.0139,0.0373,83.0,0.8956,45.0,0.0111,53.0,0.0962,53.0
ADAM30,,,,0.0015,0.0048,83.0,1.1756,45.0,0.0799,53.0,-0.1019,53.0
ADAM32,,,,0.6911,0.5078,83.0,0.9476,45.0,0.0096,53.0,0.1414,53.0
ADAM33,,,,0.0847,0.2214,83.0,1.0199,45.0,0.0702,53.0,-0.0776,53.0
ADAM7,,,,0.0026,0.0094,83.0,0.8101,45.0,0.0336,53.0,-0.0215,53.0
ADAM8,,,,2.7079,1.7766,83.0,1.0055,45.0,0.0073,53.0,0.2133,53.0
ADAM9,,,,7.2138,0.9196,83.0,0.9475,45.0,0.0328,53.0,-0.0072,53.0
ADAMDEC1,,,,0.003,0.0135,83.0,0.8419,45.0,0.0119,53.0,0.1017,53.0
ADAMTS1,,,,2.0422,1.8674,83.0,0.9352,45.0,0.0481,53.0,-0.0445,53.0
ADAMTS10,,,,1.3553,1.5138,83.0,0.8793,45.0,0.1152,53.0,-0.1588,53.0
ADAMTS12,,,,0.9845,1.4801,83.0,1.4773,45.0,0.0107,53.0,0.1654,53.0
ADAMTS13,,,,1.2256,0.7588,83.0,1.0228,45.0,0.0419,53.0,-0.0313,53.0
ADAMTS14,,,,0.5944,0.8114,83.0,0.9711,45.0,0.0175,53.0,0.0789,53.0
